2283,22.40,41.30,0.46,0.11
4574,22.40,41.30,0.44,0.41
6864,22.40,41.20,0.44,0.33
9154,22.40,41.20,0.44,0.41
11446,22.40,41.20,0.44,0.41
13736,22.40,41.20,0.46,0.41
16026,22.40,41.20,0.46,0.41
18317,22.40,41.20,0.88,0.41
20608,22.40,41.20,0.98,0.41
22898,22.40,41.20,1.56,0.63
25188,22.40,41.20,1.46,0.56
27479,22.40,41.20,1.05,0.41
29769,22.40,41.20,0.76,0.41
32059,22.40,41.10,1.63,0.56
34350,22.40,41.10,0.93,0.48
36640,22.40,41.10,1.54,0.63
38933,22.40,41.10,1.10,0.48
41224,22.40,41.10,1.15,0.56
43514,22.40,41.10,1.20,0.48
45804,22.40,41.00,1.15,0.56
48095,22.40,41.00,1.07,0.48
50408,22.40,41.00,1.63,0.56
52699,22.40,41.00,0.78,0.41
54989,22.40,41.00,1.63,0.56
57279,22.40,41.00,0.90,0.56
59570,22.40,41.00,1.42,0.63
61860,22.40,40.90,1.32,0.56
64151,22.40,41.00,0.81,0.41
66441,22.40,40.90,1.39,0.56
68731,22.40,40.90,1.51,0.56
71022,22.40,40.90,0.98,0.33
73312,22.50,41.00,0.73,0.48
75602,22.50,40.90,1.51,0.48
77893,22.50,40.90,1.24,0.48
80186,22.50,40.90,1.46,0.56
82477,22.40,40.80,1.29,0.48
84766,22.40,40.80,0.78,0.48
87057,22.50,40.90,1.59,0.56
89348,22.50,40.90,0.90,0.48
91638,22.50,40.90,1.63,0.63
93928,22.50,40.90,0.73,0.41
96219,22.50,40.80,1.07,0.48
98509,22.50,40.90,1.61,0.63
100800,22.50,40.80,0.76,0.48
103090,22.50,40.80,1.49,0.56
105380,22.50,40.80,0.76,0.41
107671,22.50,40.80,1.34,0.48
109962,22.50,40.70,0.76,0.48
112251,22.50,40.70,1.39,0.56
114542,22.40,40.60,0.81,0.41
116832,22.50,40.70,1.46,0.56
119148,22.40,40.60,1.10,0.48
121439,22.50,40.70,0.78,0.41
