88239,25.50,41.40,3.90,0.70
89037,25.50,41.40,6.20,1.44
89565,25.50,41.40,1.22,0.11
90091,25.50,41.40,6.37,1.44
90617,25.50,41.40,0.41,-0.04
91416,25.50,41.40,6.59,1.52
91943,25.50,41.40,1.51,0.33
92470,25.50,41.40,6.12,1.22
92997,25.50,41.40,2.61,0.48
93795,25.50,41.40,4.03,0.93
94322,25.50,41.40,5.05,1.15
94849,25.50,41.40,3.25,0.56
95375,25.50,41.40,5.61,1.22
96174,25.50,41.40,0.51,0.19
96700,25.50,41.40,6.39,1.30
97260,25.50,41.40,1.15,0.04
97787,25.50,41.40,6.27,1.30
98585,25.50,41.40,0.39,0.26
99112,25.50,41.40,6.51,1.30
99639,25.50,41.40,0.39,-0.11
100166,25.50,41.40,6.56,1.37
100964,25.60,41.40,0.39,0.19
101490,25.60,41.40,6.76,1.30
102018,25.60,41.40,0.51,0.04
102544,25.60,41.40,6.73,1.30
103344,25.60,41.40,1.78,0.48
103870,25.60,41.40,6.81,1.44
104397,25.60,41.40,2.42,0.41
104924,25.60,41.40,6.39,1.30
105722,25.60,41.40,4.03,1.15
106250,25.60,41.40,5.42,1.07
106777,25.60,41.40,4.76,0.93
107307,25.60,41.40,1.34,0.19
108104,25.60,41.40,6.47,1.52
108631,25.60,41.40,3.03,0.56
109158,25.60,41.40,6.15,1.22
109685,25.60,41.40,3.66,0.85
110483,25.60,41.40,5.25,1.30
111009,25.60,41.40,4.78,1.00
111566,25.60,41.40,6.86,1.44
112094,25.60,41.40,1.17,0.04
112891,25.60,41.40,7.15,1.67
113419,25.60,41.40,0.41,-0.11
113945,25.60,41.40,7.27,1.44
114472,25.60,41.40,0.49,0.04
115270,25.60,41.40,7.15,1.74
115798,25.60,41.40,2.05,0.33
116324,25.60,41.40,6.32,1.22
116851,25.60,41.40,3.37,0.93
117653,25.60,41.40,1.22,0.41
118179,25.60,41.40,7.05,1.44
118707,25.60,41.40,2.56,0.56
119233,25.60,41.40,6.22,1.22
120032,25.60,41.40,5.05,1.30
120559,25.60,41.40,3.95,0.70
121085,25.60,41.40,6.25,1.37
121613,25.60,41.40,2.17,0.33
122411,25.60,41.40,7.10,1.81
122938,25.60,41.40,0.39,-0.04
123464,25.60,41.40,7.30,1.52
123992,25.60,41.40,1.10,0.11
124789,25.60,41.40,6.27,1.44
125346,25.60,41.40,4.59,0.93
125873,25.60,41.40,5.78,1.15
126400,25.60,41.40,3.17,0.56
127198,25.60,41.40,6.83,1.67
127727,25.60,41.40,5.10,1.00
128254,25.60,41.40,4.34,0.78
128781,25.60,41.40,6.98,1.52
129580,25.70,41.50,3.44,0.78
130106,25.70,41.50,7.47,1.67
130633,25.70,41.50,2.83,0.41
131160,25.70,41.50,7.47,1.52
131959,25.60,41.40,1.98,0.48
132486,25.60,41.40,6.95,1.44
133013,25.60,41.40,2.15,0.26
133539,25.60,41.40,7.10,1.52
134339,25.70,41.50,2.29,0.41
134865,25.70,41.50,7.39,1.67
135393,25.70,41.50,3.49,0.63
135919,25.70,41.50,6.66,1.52
136717,25.70,41.50,4.29,1.00
137244,25.70,41.50,6.66,1.52
137772,25.70,41.50,5.59,1.15
138296,25.70,41.50,0.39,-0.04
139126,25.70,41.50,6.83,1.74
139653,25.70,41.50,7.34,1.52
140180,25.70,41.50,6.64,1.44
140706,25.70,41.50,6.25,1.22
141505,25.70,41.40,7.64,1.81
142031,25.70,41.40,3.39,0.56
142559,25.70,41.40,8.52,1.89
143085,25.70,41.40,1.88,0.26
143884,25.70,41.40,9.86,2.41
144410,25.70,41.40,0.59,0.04
144937,25.70,41.40,10.71,2.26
145465,25.70,41.40,2.46,0.56
146263,25.70,41.30,9.66,2.26
146790,25.70,41.30,4.37,0.85
147316,25.70,41.30,9.03,2.04
147844,25.70,41.30,4.76,1.15
148639,25.70,41.20,10.10,2.48
149167,25.70,41.20,1.73,0.19
149693,25.70,41.20,10.13,2.18
150220,25.70,41.20,2.32,0.26
151018,25.70,41.10,10.00,2.41
151545,25.70,41.10,3.68,0.48
152072,25.70,41.10,9.08,2.11
152599,25.70,41.10,5.76,1.15
153426,25.70,41.10,3.76,0.85
153954,25.70,41.10,8.76,1.96
154480,25.70,41.10,6.66,1.22
155008,25.70,41.10,6.95,1.59
155806,25.70,41.10,7.39,1.67
156333,25.70,41.10,6.20,1.37
156860,25.70,41.10,9.25,2.04
157386,25.70,41.10,3.59,0.78
158187,25.70,41.10,0.78,0.19
158714,25.70,41.10,10.10,2.26
159241,25.70,41.10,2.88,0.56
159768,25.70,41.10,9.37,2.18
160566,25.70,41.00,4.32,0.85
161093,25.70,41.00,8.74,2.11
161619,25.70,41.00,6.37,1.30
162147,25.70,41.00,7.00,1.59
162945,25.70,41.00,7.25,1.81
163472,25.70,41.00,6.61,1.52
163998,25.70,41.00,8.49,1.81
164526,25.70,41.00,4.66,1.00
165323,25.80,41.00,8.76,2.18
165851,25.80,41.00,4.71,1.15
166377,25.80,41.00,9.22,2.11
166935,25.80,41.00,3.59,0.70
167733,25.70,40.90,10.03,2.55
168262,25.70,40.90,7.15,1.81
168790,25.70,40.90,6.54,1.37
169316,25.70,40.90,8.22,2.04
170115,25.80,40.90,3.71,0.93
170641,25.80,40.90,9.93,2.41
171168,25.80,40.90,1.95,0.26
171695,25.80,40.90,10.30,2.48
172493,25.80,41.00,1.24,0.48
173020,25.80,41.00,10.57,2.41
173547,25.80,41.00,3.22,0.78
174073,25.80,41.00,9.44,2.11
174872,25.80,40.90,6.56,1.74
175398,25.80,40.90,7.59,1.52
175926,25.80,40.90,7.20,1.67
176452,25.80,40.90,6.81,1.37
177251,25.80,40.90,8.91,2.33
177777,25.80,40.90,4.71,0.93
178307,25.80,40.90,9.17,2.04
178834,25.80,40.90,4.54,1.00
179632,25.80,40.90,8.34,1.96
180159,25.80,40.90,6.00,1.44
180715,25.80,40.90,7.71,1.74
181242,25.80,40.90,6.66,1.37
182040,25.80,40.80,8.49,2.26
182567,25.80,40.80,5.69,1.22
183094,25.80,40.80,8.71,2.11
183621,25.80,40.80,5.27,1.00
184419,25.90,40.80,9.56,2.48
184946,25.90,40.80,3.61,0.70
185473,25.90,40.80,9.59,2.26
186000,25.90,40.80,3.93,0.78
186798,25.90,40.80,9.86,2.55
187324,25.90,40.80,3.07,0.56
